answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"Let's all flock to read Psalm 95, in which humans are compared to these animals",1,200,False,sheep,J.D.,True,THE OLD TESTAMENT,1,1
"The rap on him is he's sometimes ""Puffy""",4,200,False,Sean Combs,J.D.,True,SEAN SONG,1,1
In the 1980s this city passed Chicago as the USA's second most populous,26,200,False,Los Angeles,J.D.,True,CITY WALK,1,1
"""Ask any mermaid you happen to see, 'What's the best tuna?'"", this brand",11,200,False,Chicken of the Sea,Ken,True,SLOGANEERING,1,1
"Many people have become familiar with ""Shape"", ""Ski"" & ""Savoy"", which are these, in doctors' waiting rooms",21,200,False,magazines,Ken,True,ROOM,1,1
"In 2003, Roy E. Disney left it after being on it since 1967",16,200,False,the Disney Board of Directors,Ken,True,"""BOARD""",1,1
"Some say the screech owl in the King James Bible is Lilith, the name given his legendary first wife",2,400,False,Adam,Ken,True,THE OLD TESTAMENT,1,1
Once married to Madonna,5,400,False,Sean Penn,Ken,True,SEAN SONG,1,1
"This London borough is the G in GMT, squire",27,400,False,Greenwich,Ken,True,CITY WALK,1,1
"A fast food chain: ""If it doesn't get all over the place, it doesn't belong in your face""",12,400,False,Carl\'s Jr.,Ken,True,SLOGANEERING,1,1
(Cheryl of the Clue Crew reports from the Briefing Room at the White House.)  The White House briefing room floor covers a swimming pool that was installed for this man in 1933,22,400,False,Franklin Delano Roosevelt,Ken,True,ROOM,1,1
"It's where Bart Simpson is often found in the opening of ""The Simpsons""",17,400,False,his skateboard (or the blackboard),Ken,True,"""BOARD""",1,1
"Hagar, carrying this man's baby, fled into the desert after harsh treatment from his wife",3,600,False,Abraham,Betsey,True,THE OLD TESTAMENT,1,1
"He won an Oscar for ""The Untouchables""",8,600,False,Sean Connery,Ken,True,SEAN SONG,1,1
Thomas Alsgaard won the 15-kilometer cross-country ski event at the 1998 Winter Olympics in this Japanese city,28,600,False,Nagano,Ken,True,CITY WALK,1,1
"""Pardon me, but do you have any"" of this fancy mustard?",13,600,False,Grey Poupon,J.D.,True,SLOGANEERING,1,1
"The Titanic has 3 rooms for this--only men were allowed there, as women weren't supposed to do it in public",23,"4,000",True,smoking,Ken,True,ROOM,1,1
At this time we'd like to do this for our first-class passengers & those traveling with small children,18,600,False,pre-board,J.D.,True,"""BOARD""",1,1
"According to this Old Testament book, this ""swords into plowshares"" prophet walked naked for 3 years",6,800,False,Isaiah,J.D.,True,THE OLD TESTAMENT,1,1
Yoko's boy,9,800,False,Sean Lennon,Ken,True,SEAN SONG,1,1
"The Dalai Lama's former residence, the Potala Palace, overlooks this city",29,800,False,Lhasa,Ken,True,CITY WALK,1,1
"""Kiss a little longer"" with this gum",14,800,False,Big Red,Ken,True,SLOGANEERING,1,1
"Officially released in 1975, much-bootlegged tapes of Dylan & The Band were named for this space",24,800,False,the basement,Triple Stumper,False,ROOM,1,1
A structural material named for its small wood fragments pressed together & bonded,19,800,False,particle board,J.D.,True,"""BOARD""",1,1
"In Genesis, Joseph is imprisoned after accusations by the wife of this Egyptian",7,1000,False,Potiphar,Ken,True,THE OLD TESTAMENT,1,1
"Android hottie in ""Blade Runner""",10,1000,False,Sean Young,Ken,True,SEAN SONG,1,1
