answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"(Jimmy of the Clue Crew delivers from an open mic in a small club.)  I tell you it was so cold today... (How cold was it?) It was so cold, I wished we were back in 64 when he was emperor. Hot times, if you know what I mean!",12,200,False,Nero,Arthur,True,ANCIENT ROMAN STAND-UP COMEDY,1,18
"The year Stallone debuted the first of the 3 ""Rambo"" films he also appeared in the 3rd film in this series",7,200,False,Rocky,Arthur,True,THE 3rd FILM IN THE SERIES,1,18
"Look up your car's trade-in value & get new car pricing at kbb.com; KBB, short for this",26,200,False,Kelley Blue Book,Arthur,True,WEBSITES,1,18
The Grand Canal connects the Yangtze River to this other major river,6,200,False,the Yellow River,Steve,True,YANGTZE DOODLE,1,18
"The company named for this woman, co-founder with her husband Sid, urges a balanced food, body & mind approach",18,200,False,Jenny Craig,Triple Stumper,False,GO ON A DIET,1,18
"""El silencio es oro""",1,200,False,silence is golden,Steve,True,PROVERBIOS EN ESPAÑOL,1,18
"(Jimmy of the Clue Crew delivers from an open mic in a small club.)  Boy, in the old days we knew how to par-tay.  You know what they say--if you can remember this festival of the god Bacchus, you weren't there!",13,400,False,a bacchanalia,Arthur,True,ANCIENT ROMAN STAND-UP COMEDY,1,18
"This character was the object of the title search in ""Star Trek III""",11,400,False,Spock,Tom,True,THE 3rd FILM IN THE SERIES,1,18
"""Bush regales dinner guests with impromptu oratory on Virgil's minor works"", this satirical news website headlined",27,400,False,The Onion,Tom,True,WEBSITES,1,18
The 2 rivers in the world that are longer than the Yangtze,8,400,False,the Amazon and the Nile,Arthur,True,YANGTZE DOODLE,1,18
All foods have a point value & you're given an assigned daily point total at a meeting in this Heinz-owned plan,19,400,False,Weight Watchers,Steve,True,GO ON A DIET,1,18
"""El fin justifica los medios""",2,400,False,the end justifies the means,Tom,True,PROVERBIOS EN ESPAÑOL,1,18
"(Jimmy of the Clue Crew delivers from an open mic in a small club.)  See, in this place, I like to stay in the calderium; avoid the frigidarium.  I like my tenaculum the size it is!",14,600,False,the baths,Tom,True,ANCIENT ROMAN STAND-UP COMEDY,1,18
