answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"Te Papa, the National Museum of New Zealand, is in this city, the capital",6,200,False,Wellington,Ken,True,NEW ZEALAND,1,9
When he plays for the Lakers he wears a size 23 shoe,26,200,False,Shaquille O\'Neal,Elaine,True,SPORTS STARS,1,9
"Vostok means ""east"" in this language",1,200,False,Russian,Ken,True,SPEAKING IN TONGUES,1,9
Remove a hidden electronic device,16,200,False,debug,Elaine,True,"IT'S IN ""DE"" DICTIONARY",1,9
The average time in the 15 largest U.S. cities for this is 24.3 minutes & most people do it by car,11,200,False,commute,Ken,True,U.S. FACTS & FIGURES,1,9
"Of hippo, rhino or croc, the one whose common name has the most letters",21,200,False,hippopotamus,Ken,True,PICK ONE,1,9
New Zealander who took on the giant task of making 3 films at once about the little hobbits,7,400,False,Peter Jackson,Ken,True,NEW ZEALAND,1,9
"(Sarah of the Clue Crew reads from the courts at the Tennis Hall of Fame in Newport, RI.)  From 1978 to 1984 the title of U.S. Open men's singles champ volleyed between John McEnroe & this other volatile lefty",27,400,False,Jimmy Connors,Ken,True,SPORTS STARS,1,9
"(Sofia of the Clue Crew speaks in a foreign tongue familiar to us.)  Until Vatican II, the Catholic Mass was officially only celebrated in this language",2,400,False,Latin,Ken,True,SPEAKING IN TONGUES,1,9
"Insert 1 letter in ""death"" to get this word meaning ""an insufficient supply""",17,400,False,dearth,Ken,True,"IT'S IN ""DE"" DICTIONARY",1,9
"In 2002 U.S. parents adopted 5,053 kids from this country, more than from any other",12,400,False,China,John,True,U.S. FACTS & FIGURES,1,9
"Of the Osmonds, the Osbournes or the Oswalds, the family that got MTV its highest ratings",22,400,False,the Osbournes,John,True,PICK ONE,1,9
New Zealand was named for the Province of Zeeland in this country,8,600,False,the Netherlands,Ken,True,NEW ZEALAND,1,9
In 2003 this English soccer star became the first Westerner to appear on ad billboards in Iran since 1979,28,600,False,David Beckham,Ken,True,SPORTS STARS,1,9
"Demotic is the common form of this language; Katharevousa, a more purified form",3,600,False,Greek,Elaine,True,SPEAKING IN TONGUES,1,9
It's a decorative bottle used for serving wine,18,600,False,a decanter,John,True,"IT'S IN ""DE"" DICTIONARY",1,9
"According to the FDIC, A record 222 of these failed or needed aid in 1988",13,600,False,banks,Elaine,True,U.S. FACTS & FIGURES,1,9
"Of Woolworth, Wordsworth or Wadsworth, the one who was a stamp distributor in Westmoreland County",23,600,False,Wordsworth,Elaine,True,PICK ONE,1,9
New Zealand's Black Magic won this trophy in 1995 and 2000,9,800,False,the America\'s Cup,Ken,True,NEW ZEALAND,1,9
A 2003 USA Today survey of all time great NFL QBs revealed the top 4 all have first names beginning with this letter,29,"1,400",True,"J (for Joe Montana, Joe Namath, John Elway, & Johnny Unitas)",Ken,True,SPORTS STARS,1,9
A 1996 Oakland  School Board decision made many aware of this term for African-American English,4,800,False,Ebonics,Ken,True,SPEAKING IN TONGUES,1,9
"Meaning socially obligatory, it's from the French for ""of strictness""",19,800,False,de rigeur,Ken,True,"IT'S IN ""DE"" DICTIONARY",1,9
"The median age in California, it's also the speed of an old vinyl record album",14,800,False,33 1/3,John,True,U.S. FACTS & FIGURES,1,9
"Of Army, Navy or Marine, the one who began as a columnist for Variety in 1953",24,800,False,Army (Archerd),Ken,True,PICK ONE,1,9
In WWII this representative and future U.S. Pres. put on a uniform & was sent to New Zealand & Australia,10,1000,False,LBJ (Lyndon Baines Johnson),John,False,NEW ZEALAND,1,9
"In 1947 a team from Wiliamsport, Pa. won the very first edition of this youth sports championship",30,1000,False,the Little League World Series,Ken,True,SPORTS STARS,1,9
