answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"""The Princes of Ireland"" is vol. 1 of Edward Rutherfurd's ""Saga"" named for this capital",6,200,False,Dublin,Tom,True,RECENT FICTION,1,12
This center fielder who hit 660 homers & won 2 NL MVP awards started his pro career in the Negro Leagues,1,200,False,Mays,Tom,True,BASEBALL ROOKIES OF THE YEAR,1,12
This philosopher & partner of Engels took up residence in London after being expelled from Prussia in 1849,16,200,False,Marx,Tom,True,WAXING PHILOSOPHICAL,1,12
Benjamin Eisenstadt introduced this pink-packeted product in 1957,23,200,False,Sweet\'N Low,Triple Stumper,False,SWEET,1,12
"The ""Virginia"" variety of this country dance starts with partners facing each other in 2 lines",21,200,False,the reel,Steve,True,BALLROOM BLITZ,1,12
"I'm somehow sensing you'll know this word for a medium, from the Greek for ""of the soul""",11,200,False,psychic,Steve,True,"SILENT ""P""",1,12
A song provided the title of this Michael Walsh novel featuring Isla Lund & Victor Laszlo,7,400,False,As Time Goes By,Steve,True,RECENT FICTION,1,12
He was the first Japanese player in nearly 30 years to play in the majors when he pitched for the Dodgers in 1995,2,400,False,Nomo,Tom,True,BASEBALL ROOKIES OF THE YEAR,1,12
"Seen here, the death of this Athenian philosopher was immortalized by  Jacques-Louis David in 1787",17,400,False,Socrates,Tom,True,WAXING PHILOSOPHICAL,1,12
1 1997 song by The Verve says life is this type of symphony,24,400,False,a bittersweet symphony,Tom,True,SWEET,1,12
"A star was born when Rudolph Valentino did this Latin-American dance in ""Four Horsemen of the Apocalypse""",22,400,False,a tango,Seth,True,BALLROOM BLITZ,1,12
"An extinct flying reptile from the Cretaceous Period, it had a wingspan of about 25 feet",12,400,False,a pteranodon,Seth,True,"SILENT ""P""",1,12
This term for a lawyer who pulls in profits provided the title of a John Grisham book,8,600,False,The Rainmaker,Tom,True,RECENT FICTION,1,12
This pitcher was Rookie of the Year in 1967; he won the Cy Young & a World Series ring in 1969,3,600,False,Seaver,Tom,True,BASEBALL ROOKIES OF THE YEAR,1,12
This philosopher & Sartre convened an intl. war crimes tribunal to publicize U.S. atrocities in Vietnam,18,600,False,Bertrand Russell,Tom,False,WAXING PHILOSOPHICAL,1,12
They're the climbers seen here,25,600,False,sweet peas,Steve,True,SWEET,1,12
"An 18th century dance & a social ball are both called this, from a French word for ""petticoat""",28,600,False,a cotillion,Seth,True,BALLROOM BLITZ,1,12
11-letter term describing the era of Jimi Hendrix & Timothy Leary,13,600,False,psychedelic (psychedelia accepted),Steve,True,"SILENT ""P""",1,12
"""Empire"" is nonfiction by Niall Ferguson; this is Richard Russo's novel about small town man Miles Roby",9,800,False,Empire Falls,Tom,True,RECENT FICTION,1,12
"1956's Rookie of the Year with Cincinnati, he was the first player to be MVP in both the AL & NL",4,800,False,Frank Robinson,Tom,True,BASEBALL ROOKIES OF THE YEAR,1,12
In 1937 this U.S. educator headed an inquiry to hear Trotsky's rebuttal of the Moscow charges against him,19,800,False,John Dewey,Triple Stumper,False,WAXING PHILOSOPHICAL,1,12
This Texas city is the seat of Nolan County,26,800,False,Sweetwater,Triple Stumper,False,SWEET,1,12
"Wham's hit ""Wake Me Up Before You Go-Go"" mentions this American dance of the 1930s & '40s",29,"2,100",True,the jitterbug,Seth,False,BALLROOM BLITZ,1,12
"Any of several grouses of the genus Lagopus, having feathered feet",14,800,False,a ptarmigan,Seth,True,"SILENT ""P""",1,12
"In a series set in Africa, a woman named Precious Ramotswe runs this crime-solving outfit",10,1000,False,The No. 1 Ladies\' Detective Agency,Tom,True,RECENT FICTION,1,12
"Playing for the New York Mets, he was named the 1983 National League Rookie of the Year",5,1000,False,Darryl Strawberry,Tom,False,BASEBALL ROOKIES OF THE YEAR,1,12
This intellectual known for his concept of the absurd classifies rebels into world deniers and world affirmers,20,1000,False,Albert Camus,Triple Stumper,False,WAXING PHILOSOPHICAL,1,12
"""Albertine Disparue"", a volume in this epic work, is sometimes translated as ""The Sweet Cheat Gone""",27,1000,False,Remembrance of Things Past,Tom,True,SWEET,1,12
This ballroom dance may have been named for vaudeville comedian Harry,30,1000,False,the foxtrot,Triple Stumper,False,BALLROOM BLITZ,1,12
"Also called parrot fever, it can be contracted by handling sick parrots, pigeons or poultry",15,1000,False,psittacosis,Tom,False,"SILENT ""P""",1,12
He succeeded Dag Hammarskjold as U.N. Secretary-General & used a single letter before his name,16,400,False,U Thant,Steve,True,HEIR OF THE DAG,2,12
"""Great Balls of Fire!""",6,400,False,Jerry Lee Lewis,Seth,True,BIG SCREEN BIOS,2,12
"This character described himself as having ""more flesh than another man, and therefore more frailty""",1,400,False,Falstaff,Seth,True,YOU HAD TO EXPECT SHAKESPEARE,2,12
"The first brewery in the New World was opened in 1612 in the city that then had this ""Dutch"" name",11,400,False,New Amsterdam,Tom,True,GREAT MOMENTS IN HISTORY,2,12
Even the Duchess of Windsor is included on Royalty Row at the Royal London Wax Museum in this B.C. capital,21,400,False,Victoria,Tom,True,A WORLD OF POTPOURRI,2,12
"You can't dip them in milk, but these bits of information sent from web servers to browsers sure are sweet",26,400,False,cookies,Seth,True,LINGUA TECHNA,2,12
"Born in Ghana in 1938, this U.N. Secretary-General won a Nobel Peace Prize in 2001",17,800,False,Kofi Annan,Steve,True,HEIR OF THE DAG,2,12
"""Your Cheatin' Heart""",7,800,False,"Hank Williams, Sr.",Steve,True,BIG SCREEN BIOS,2,12
"About 230 years B.S. (before Shakespeare), Chaucer wrote an 8,000-line poem about this title Homeric pair",2,800,False,Troilus and Criseyde,Seth,True,YOU HAD TO EXPECT SHAKESPEARE,2,12
His establishment of the St. Louis Refrigerator Car Co. in 1878 enabled his beer to be distributed on a large-scale basis,12,800,False,Anheuser-Busch,Tom,True,GREAT MOMENTS IN HISTORY,2,12
Visit the graves of Mozart's wife & father at this city's St. Sebastian cemetery--but you won't find Mozart with them,22,800,False,Salzburg,Tom,True,A WORLD OF POTPOURRI,2,12
"42.53.508.454 is an example of one of the numbers known by these 2 initials, which are basically web addresses",27,800,False,IP,Seth,True,LINGUA TECHNA,2,12
"Serving from 1946 to 1952, this Oslo University graduate was the first U.N. Secretary-General",18,1200,False,Trygve Lie,Triple Stumper,False,HEIR OF THE DAG,2,12
"""Bananas Is My Business""",8,1200,False,(Carmen) Miranda,Tom,True,BIG SCREEN BIOS,2,12
"After being a 16th C. version of ""The Terminator"", the title guy buys the farm too at the end of this, Will's 1st tragedy",3,"2,000",True,Titus Andronicus,Seth,False,YOU HAD TO EXPECT SHAKESPEARE,2,12
Cheers to Congress for adopting this number amendment in 1933 to deal with a drier former one,13,1200,False,21st,Tom,True,GREAT MOMENTS IN HISTORY,2,12
"Since 1981 Queen Beatrix has lived at Huis Ten Bosch palace in this ""court""ly city",23,1200,False,The Hague,Steve,True,A WORLD OF POTPOURRI,2,12
"This adjective that precedes ""server"" refers to a server that is an intermediary between a user & a client",28,1200,False,proxy,Triple Stumper,False,LINGUA TECHNA,2,12
After his term as U.N. Secretary-General he became president of Austria in 1986,19,1600,False,(Kurt) Waldheim,Tom,True,HEIR OF THE DAG,2,12
"""Man of a Thousand Faces""",9,1600,False,"Lon Chaney, Sr.",Seth,True,BIG SCREEN BIOS,2,12
"In this comedy featuring a ""fantastical Spaniard"", 4 guys take a 3-year vow of celibacy & wackiness ensues",4,1600,False,Love\'s Labour\'s Lost,Triple Stumper,False,YOU HAD TO EXPECT SHAKESPEARE,2,12
"In the 1890's William Painter invented the top, seen here, whose projections got it this ""regal"" name",14,1600,False,the crown bottlecap,Seth,True,GREAT MOMENTS IN HISTORY,2,12
The name of this capital of Senegal comes from a Wolof word for the tamarind tree,24,1600,False,Dakar,Tom,True,A WORLD OF POTPOURRI,2,12
"First developed by Xerox, this local access network technology sounds like a device to catch an anesthetic",29,1600,False,an ethernet cable,Tom,True,LINGUA TECHNA,2,12
This Secretary-General accompanied Anwar Sadat on his historic trip to Israel in 1977,20,"2,000",True,(Boutros) Boutros-Ghali,Tom,False,HEIR OF THE DAG,2,12
"""Monster""",10,2000,False,Aileen Wuornos,Seth,True,BIG SCREEN BIOS,2,12
"The last of the tragedies, this play deals with the conflict between Rome's patrician & plebeian classes",5,2000,False,Coriolanus,Triple Stumper,False,YOU HAD TO EXPECT SHAKESPEARE,2,12
"Inspired by a glass of beer, Donald Glaser made this device in 1952 to track cosmic rays",15,2000,False,the bubble chamber,Triple Stumper,False,GREAT MOMENTS IN HISTORY,2,12
"(Sofia of the Clue Crew stands with a mariachi band in the Yucatan Peninsula, Mexico.)  Add 3 letters to ""guitar"" to get the name of this bass guitar used in Mexican music",25,2000,False,guitarron,Steve,True,A WORLD OF POTPOURRI,2,12
