answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"The person you share your space with can be your cellie or, based on the type of bed you sleep on, this word",3,200,False,your bunkie,Renzo,True,AROUND THE CELL,1,13
Tell the theater troupe it's a single toss of a fisherman's line & bait,14,200,False,a cast,Renzo,True,FISHING FOR VOCABULARY,1,13
"In 1792 Congress passed the Coinage Act, which authorized construction of a mint in this city",26,200,False,Philadelphia,John,True,"MONEY, MONEY, MONEY",1,13
"Hanuman, a monkey god of this religion, sometimes has 5 heads",30,200,False,Hinduism,Vinita,True,I'VE GOT SUPERNATURAL POWERS,1,13
Things were grave indeed when Patricia Clarkson picked up an Emmy in 2002 for guest-starring on this HBO show,12,200,False,Six Feet Under,Vinita,True,THEY'RE ALL WINNERS!,1,13
"Your fighter, thief & wizard split the treasure & calculate their experience in this role-playing game created in 1974",11,200,False,Dungeons and Dragons,Renzo,True,GAME OVER,1,13
It's the period when prisoners are restricted to cells after a disturbance,4,400,False,lockdown,John,True,AROUND THE CELL,1,13
You might be enticed by this general name for any artificial bait used to attract fish,18,400,False,a lure,Vinita,True,FISHING FOR VOCABULARY,1,13
He's the only Civil War general currently depicted on U.S. money,25,400,False,Grant,Renzo,True,"MONEY, MONEY, MONEY",1,13
A Scottish breed of cow shares its name with this Celtic god of love whose kisses become birds,1,400,False,Angus,Triple Stumper,False,I'VE GOT SUPERNATURAL POWERS,1,13
"(Hi.  I'm LeVar Burton, and) In 1999 I won a Grammy for narrating ""The Autobiography of"" this winner of the Nobel Peace Prize",13,400,False,"Martin Luther King, Jr.",Triple Stumper,False,THEY'RE ALL WINNERS!,1,13
"You caught the ball & got tensies, which makes you the winner at this game",2,400,False,jacks,Vinita,True,GAME OVER,1,13
It's the common (printable) 4-letter term for a solitary confinement cell,5,600,False,the hole,Renzo,True,AROUND THE CELL,1,13
"By gum, it's a fishing spear with a 3-pronged point",19,600,False,a trident,Renzo,True,FISHING FOR VOCABULARY,1,13
"Did you notice?  In 2003 a new version of this note was introduced using background colors of green, blue & peach",24,600,False,the $20,Renzo,True,"MONEY, MONEY, MONEY",1,13
This Semitic mother goddess can make the heavens & earth tremble (& film critics wince),27,600,False,Ishtar,John,True,I'VE GOT SUPERNATURAL POWERS,1,13
Talk about a super Mario!  He won more than 50 Indy car races before he retired in 1994,15,600,False,Mario Andretti,Renzo,True,THEY'RE ALL WINNERS!,1,13
"Created in 1981, this video game character's life ends when you hear the following sound",8,600,False,Pac-Man,John,True,GAME OVER,1,13
"Hot Kansas summers and no A/C got this federal prison its nickname ""the hot house""",6,800,False,Leavenworth,Renzo,True,AROUND THE CELL,1,13
"Hey, good buddy, it's ground-up bits of bait discarded into the water to attract game fish",20,800,False,chum,Vinita,True,FISHING FOR VOCABULARY,1,13
"Discontinued in 1969, the $100,000 bill featured the portrait of this Democratic president",22,800,False,Woodrow Wilson,John,True,"MONEY, MONEY, MONEY",1,13
"The Greek goddess of justice, she can turn herself into animals & also be your worst enemy",28,800,False,Nemesis,Vinita,True,I'VE GOT SUPERNATURAL POWERS,1,13
"(Hi, I'm Gretchen Carlson of the CBS Saturday Early Show.)  You could say it was my ""crowning"" moment when I became the 1st classical violinist to win this national title",16,800,False,Miss America,Triple Stumper,False,THEY'RE ALL WINNERS!,1,13
This rough-house recess game ends when the last opposing player fails to do what the name of the game suggests,9,800,False,dodge ball,John,True,GAME OVER,1,13
