answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
This Iberian power occupied Bahrain from 1521 until the locals asked for Persian help in 1602,26,200,False,Portugal,Chris,True,BAHRAIN,1,17
"Appropriately, Stephen King is the creator of this 2004 series based on a Danish TV production",1,200,False,Kingdom Hospital,Chris,True,POP CULTURE,1,17
The new Woodrow Wilson Bridge project will connect Maryland & Virginia across this river,21,200,False,the Potomac,Tom,True,BRIDGES TO THE FUTURE,1,17
"In 1852, this poet laureate & lord wrote his ""Ode on the Death of the Duke of Wellington""",6,200,False,Tennyson,Chris,True,GREAT BRITS,1,17
Thyme honey from the Iblei Mtns. on this large Mediterranean isle has been a delicacy for centuries,10,200,False,Sicily,Chris,True,A BRIEF HISTORY OF THYME,1,17
It's how modern Millie is(10),16,200,False,thoroughly,Anne,True,"BROADWAY CROSSWORD CLUES ""T""",1,17
"Bahrain is known as this ""of the Arabian Gulf"", although cultured ones are banned in the market of the same name",27,400,False,the Pearl,Chris,True,BAHRAIN,1,17
"Debuting in 1982, it was the arcade follow-up to Centipede",2,400,False,Millipede,Chris,True,POP CULTURE,1,17
"This 22 ½ mile Hangzhou bridge will cut 2 hours off the travel time from Ningbo to this city, China's largest",22,400,False,Shanghai,Chris,True,BRIDGES TO THE FUTURE,1,17
He joined the British navy at age 12 & died at the Battle of Trafalgar 35 years later,7,400,False,Lord Nelson,Chris,True,GREAT BRITS,1,17
"Parsley, sage, rosemary & thyme figure prominently in this hit by Simon & Garfunkel",12,400,False,"""Scarborough Fair""",Anne,True,A BRIEF HISTORY OF THYME,1,17
River City situation(7),17,400,False,trouble,Chris,True,"BROADWAY CROSSWORD CLUES ""T""",1,17
"The 5 triangular shapes on the Bahraini flag represent these ""foundations"" of Islam",28,600,False,pillars,Chris,True,BAHRAIN,1,17
"In 2004, she starred as Jenna Rink, who's ""13 Going on 30""",3,600,False,Jennifer Garner,Chris,True,POP CULTURE,1,17
