answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"As the Mayan god of merchants, Ek Chuah was responsible for this yummy bean, once the standard Mayan currency",4,200,False,Cacao bean,Ken,True,WORLD RELIGION,1,2
"(Sofia of the Clue Crew holds a feathered headdress at Experience Music Project in Seattle, WA.)  Felipe Rose, who wore this costume as part of this '70s group, has since founded Tomahawk Records",1,200,False,The Village People,Ken,True,THE EXPERIENCE MUSIC PROJECT,1,2
"If in a hurry, grab a prewashed salad mix, perhaps with the red leaf & green leaf types of this",21,200,False,lettuce,Bob,True,GROCERY SHOPPING,1,2
"Maine,Maryland,Montana",16,200,False,Montana,Rich,True,THE LARGEST IN AREA,1,2
"Depending on the source, he ""stuck a feather in his cap"" or ""in his hat and called it macaroni""",26,200,False,Yankee Doodle,Ken,True,FEATHERS,1,2
"If you take a nappy in London, it's one of these to put on a baby",11,200,False,a diaper,Rich,True,THE QUEEN'S ENGLISH,1,2
The Voodoo of New Orleans owes a debt to this Caribbean nation once known as St. Domingue,5,400,False,Haiti,Ken,True,WORLD RELIGION,1,2
"In 2004, for the 40th anniversary of the Fab 4 in the U.S., EMP presents an exhibit titled this, like a 1977 Broadway show",2,400,False,Beatlemania,Triple Stumper,False,THE EXPERIENCE MUSIC PROJECT,1,2
"If you're buying a whole fish, these (on the fish) should be clear & not sunken",22,400,False,eyes,Ken,True,GROCERY SHOPPING,1,2
"Wisconsin,Wyoming,Washington",17,400,False,Wyoming,Ken,True,THE LARGEST IN AREA,1,2
"According to the proverb, ""Birds of a feather"" do this",28,400,False,flock together,Rich,True,FEATHERS,1,2
"The type of car the Brits call an estate car, we Americans call one of these wagons",12,400,False,a station wagon,Ken,True,THE QUEEN'S ENGLISH,1,2
"By definition, the Hashemites are either direct or collateral descendants of this prophet",6,600,False,Muhammad,Ken,True,WORLD RELIGION,1,2
