answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
"In a 2003 annual cost-of-living survey, it was ranked as the world's most expensive city",6,200,False,Tokyo,Ken,True,ASIAN HISTORY,1,10
"Introduced in a 1933 film, this song heard here has become a toe-tapping favorite on Broadway",11,200,False,"""42nd Street""",Ken,False,WE LOVE BROADWAY,1,10
At age 6 in 1935 she won a special Oscar for her outstanding contribution to screen entertainment,26,200,False,Shirley Temple,Greg,True,THAT'S YOUNG!,1,10
"This island was once called Ilhas Dos Papuas, or ""Island of the Fuzzy Hairs""",25,200,False,New Guinea,Ken,True,ISLANDS,1,10
(Jimmy of the Clue Crew plays a game with Sofia.)  Eight years of studying medicine have prepared me to perform delicate surgery on Cavity Sam in this game--scalpel!Bzzzt!,20,200,False,Operation,Ken,True,CLASSIC GAMES,1,10
Newscaster Brokaw &comedian Seinfeld,1,200,False,Tom & Jerry,Ken,True,QUASI-RELATED PAIRS,1,10
"Tu Duc, a 19th century Nguyen emperor in this country, helped write a comprehensive history of it",7,400,False,Vietnam,Ken,True,ASIAN HISTORY,1,10
"In 2003 he was ""dirty dancing"" in ""Chicago"" on Broadway before embarking on the show's national tour",12,400,False,Patrick Swayze,Greg,True,WE LOVE BROADWAY,1,10
,,,,,,,THAT'S YOUNG!,1,10
"Named by Abel Tasman, Grotte Eylandt is the biggest island in this country's Gulf of Carpentaria",13,400,False,Australia,Ken,True,ISLANDS,1,10
Uno is a version of this wacky-sounding card game called huit americain in France,21,400,False,crazy eights,Ken,True,CLASSIC GAMES,1,10
Lion group &an opinion based on stereotyping,2,400,False,pride & prejudice,Ken,True,QUASI-RELATED PAIRS,1,10
Between 1811 & 1866 the capital of Cambodia Ping-Ponged between Oudong & this,8,600,False,Phnom Penh,Ken,True,ASIAN HISTORY,1,10
"Hey, hey!  This member of The Monkees took over the role of Zoser in ""Aida"" in 2004",14,600,False,Micky Dolenz,Ken,False,WE LOVE BROADWAY,1,10
,,,,,,,THAT'S YOUNG!,1,10
During WWII Malta controlled the sea lanes between North Africa & this Italian island 50 miles from Malta,17,600,False,Sicily,Ken,True,ISLANDS,1,10
(Sofia of the Clue Crew plays a game with Jimmy.)  Trying to catch a rodent isn't as easy as it seems in this classic board game,22,600,False,Mouse Trap,Marilyn,True,CLASSIC GAMES,1,10
A wreath of leaves &possessing the quality of robustness,3,600,False,laurel & hardy,Greg,True,QUASI-RELATED PAIRS,1,10
"The tomb of Hongwu, the first emperor of this famous dynasty, is in Nanjing, China",9,800,False,the Ming,Ken,True,ASIAN HISTORY,1,10
"Alfre Woodard winged onto B'way in ""Drowning Crow"", an African-American version of this Chekhov classic",15,"2,000",True,The Seagull,Ken,True,WE LOVE BROADWAY,1,10
,,,,,,,THAT'S YOUNG!,1,10
"For administrative purposes, this island group is divided into 2 bailiwicks: Jersey & Guernsey",18,800,False,the Channel Islands,Ken,True,ISLANDS,1,10
"If you don't accept this challenge in backgammon, you must resign & pay the current stake",23,800,False,the double,Triple Stumper,False,CLASSIC GAMES,1,10
A student &the opposite of high,4,800,False,learner & low,Ken,True,QUASI-RELATED PAIRS,1,10
This Brit's battles at Assaye & Argaom in India prepared him for Napoleon,10,1000,False,Wellington,Ken,True,ASIAN HISTORY,1,10
Jason Patrick & Ashley Judd are seen here in the acclaimed revival of this Tennessee Williams classic,16,1000,False,Cat on a Hot Tin Roof,Ken,True,WE LOVE BROADWAY,1,10
,,,,,,,THAT'S YOUNG!,1,10
"This Portuguese group in the N. Atlantic was uninhabited when discovered in 1427; now it has over 200,000 people",19,1000,False,the Azores,Ken,True,ISLANDS,1,10
"(Sofia of the Clue Crew plays a game with Jimmy.)  Jimmy's playing older brother & helping me choose who's taking me out in the updated version of this gameGuy on telephone says, ""What's up?"" and Jimmy shakes his head.",24,1000,False,Mystery Date,Ken,False,CLASSIC GAMES,1,10
One fixed glance &Messrs. Daltrey & Bannister,5,1000,False,a stare & Rogers,Ken,True,QUASI-RELATED PAIRS,1,10
"The BBC TV show theme is actually ""Liberty Bell"" by this American marching bandmaster",7,400,False,Sousa,Marilyn,True,MONTY PYTHON,2,10
This 6-letter undead minion shares the name of the python deity in West African voodoo cults,18,400,False,zombie,Ken,True,BRING OUT YOUR DEAD,2,10
"Created in 1937, Spam is a combination of these 2 words",6,400,False,spiced ham,Triple Stumper,False,SPAM,2,10
Proust studied law at this institution now part of the University of Paris,12,400,False,the Sorbonne,Ken,True,SUMMARIZING PROUST,2,10
"Your boots won't dig into a buckskin, a log that's missing this, so mind your step",26,400,False,its bark,Ken,True,I'M A LUMBERJACK,2,10
It's the largest nation in area in Central America,1,400,False,Nicaragua,Ken,True,"KNIGHTS WHO SAY ""NI""",2,10
In 1988 this Pythoner made it around the world in 80 days for the BBC with 17 hours to spare,8,800,False,Michael Palin,Ken,True,MONTY PYTHON,2,10
"The alternate title to the Anne Rice book ""Ramses the Damned"" mentions one of these previously buried folk",19,800,False,a mummy,Ken,True,BRING OUT YOUR DEAD,2,10
"Spam is a product of this Austin, Minnesota corporation known for its deli meats & chili",17,800,False,Hormel,Greg,True,SPAM,2,10
"A chronic sufferer of this respiratory disease since childhood, at age 35 Proust became incapacitated by it",13,800,False,asthma,Ken,True,SUMMARIZING PROUST,2,10
"I bow before the mighty white one of these, a symbol of lumbering, as Michigan's state tree",27,800,False,pine,Ken,True,I'M A LUMBERJACK,2,10
"For Petrarch, some of these include ""Father of Humanism"" & ""The Tuscan Imp of Fame""",2,800,False,nicknames,Ken,True,"KNIGHTS WHO SAY ""NI""",2,10
"Beating out ""A Clockwork Orange"", this Python film won best British film of all time in an Amazon.com poll",9,1200,False,Monty Python and the Holy Grail,Ken,True,MONTY PYTHON,2,10
The ghost of Banquo torments this title Shakespeare king while he's attending a banquet,20,1200,False,Macbeth,Ken,True,BRING OUT YOUR DEAD,2,10
"Along with Spammy the Pig, this husband & wife comedy team pitched Spam on the radio in the 1940s",23,1200,False,Burns & Allen,Ken,True,SPAM,2,10
"As is evident in the title of this 16-piece Proust epic masterpiece, Proust was preoccupied with time",14,1200,False,Remembrance of Things Past,Ken,True,SUMMARIZING PROUST,2,10
"Until I saw that movie ""Fargo"", I thought I knew everything you could feed into this machine",28,1200,False,wood chipper,Ken,True,I'M A LUMBERJACK,2,10
"Maria de Medeiros played this French diarist in the 1990 film ""Henry and June""",3,1200,False,Anais Nin,Ken,True,"KNIGHTS WHO SAY ""NI""",2,10
"This controversial Python film's tagline in Sweden read, ""The film that is so funny it was banned in Norway""",10,1600,False,Life of Brian,Ken,True,MONTY PYTHON,2,10
"The male counterpart of a succubus, or a metal band fronted by Brandon Boyd",21,1600,False,an incubus,Ken,True,BRING OUT YOUR DEAD,2,10
"This U.S. state consumes more Spam per capita than any other, making dishes like Spam musubi",24,1600,False,Hawaii,Ken,True,SPAM,2,10
"As editor for the Criterion, this ""Hollow Men"" poet provided a literary platform for Proust",15,1600,False,T.S. Eliot,Ken,True,SUMMARIZING PROUST,2,10
You've gotta love the torque converter on the 988G Log Loader from this giant equipment company,29,1600,False,Caterpillar,Marilyn,True,I'M A LUMBERJACK,2,10
"Even though her father was Pallas, this goddess fought with the victorious Olympians against the Titans",4,1600,False,Nike,Ken,True,"KNIGHTS WHO SAY ""NI""",2,10
"The only American-born troupe member, he's directed movies like ""Brazil"" & ""The Fisher King""",11,2000,False,Terry Gilliam,Ken,True,MONTY PYTHON,2,10
"From the German for ""to knock"" or ""rattle"", this spectre may be one that goes bump in the night",22,"5,200",True,poltergeist,Ken,True,BRING OUT YOUR DEAD,2,10
"""Although the Christmas table will not be lavish, there will be Spam for everyone"", this famed reporter said in '42 London",25,"2,200",True,Edward R. Murrow,Ken,False,SPAM,2,10
"Proust organized petitions for this French soldier, unjustly sentenced in 1894 to imprisonment on Devil's Island",16,2000,False,Dreyfus,Ken,True,SUMMARIZING PROUST,2,10
,,,,,,,I'M A LUMBERJACK,2,10
"Originally written in Greek, this Christian statement of faith begins ""We believe in one God...""",5,2000,False,the Nicene Creed,Greg,True,"KNIGHTS WHO SAY ""NI""",2,10
