answer,order_number,value,is_daily_double,correct_response,responder,is_correct,category,round_num,episode
The original author’s last story about this detective was “The Adventure of Shoscombe Old Place”,1,200,False,Sherlock Holmes,Bill,True,DETECTIVE FICTION,1,5
A shark named Bruce is a member of Fish-Eaters Anonymous in this favorite from 2003,6,200,False,Finding Nemo,Ken,True,ANIMATED MOVIES,1,5
From 1920 to 1946 this Swiss city served as the seat of the League of Nations,11,200,False,Geneva,Ken,True,THE 20th CENTURY,1,5
A cousin of this telegraph & code inventor set up the famous Pebble Beach golf course,26,200,False,Samuel Morse,Ken,True,SAM I AM,1,5
You win in this game by getting the rope with a sphere attached wrapped completely around the pole,21,200,False,tetherball,Ken,True,TOYS & GAMES,1,5
OGRE,16,200,False,(Al) Gore,Bill,True,SCRAMBLED VEEPS,1,5
"In “The Big Sleep” he says, “I’m 33 years old, went to college once & can still speak English if there’s any demand for it”",2,400,False,Marlowe,Ken,True,DETECTIVE FICTION,1,5
This co-star of “Nash Bridges” returned in “The Lion King 1½” as the voice of Bonzai the hyena,7,400,False,Cheech Marin,Ken,True,ANIMATED MOVIES,1,5
"On April 18, 1983 a terrorist bomb at the U.S. embassy in this mideastern capital killed 63, including 17 Americans",12,400,False,Beirut,Bill,True,THE 20th CENTURY,1,5
"Samuel Chase, Samuel Nelson, Samuel Miller & Samuel Blatchford all served on this august body",27,400,False,the Supreme Court,Ken,True,SAM I AM,1,5
"Now called this, it was introduced around 1928 as Hop Ching checkers",22,400,False,Chinese checkers,Bill,True,TOYS & GAMES,1,5
WE NAG,17,400,False,(Spiro) Agnew,Bill,True,SCRAMBLED VEEPS,1,5
"In the April 1841 Graham’s Lady’s and Gentleman’s Magazine, this editor published his new detective story",3,600,False,Poe,Ken,True,DETECTIVE FICTION,1,5
"(Hi, I’m Clay Aiken.)  For my movie song on “American Idol” I sang “Somewhere Out There” from this animated film",8,600,False,An American Tail,Ken,True,ANIMATED MOVIES,1,5
In 1981 this labor union was outlawed in Poland; 8 years later it was legalized,13,600,False,Solidarity,Ken,True,THE 20th CENTURY,1,5
This man who had just a cameo in 1990’s “The Return of Superfly” became “Shaft” in 2000,28,600,False,Samuel L. Jackson,Kollin,True,SAM I AM,1,5
Mattel has set this classic boxing toy in a video game “arena”,23,600,False,Rock \'Em Sock \'Em Robots,Ken,True,TOYS & GAMES,1,5
LEMON AD,18,600,False,(Walter) Mondale,Ken,True,SCRAMBLED VEEPS,1,5
She also created the detectives Tuppence & Tommy Beresford,4,800,False,Agatha Christie,Bill,True,DETECTIVE FICTION,1,5
"Ray Romano, John Leguizamo & Denis Leary voiced the “sub-zero heroes” in this 2002 flick",9,800,False,Ice Age,Ken,True,ANIMATED MOVIES,1,5
In May 1954 President Eisenhower signed a bill authorizing the construction of this North American waterway,14,800,False,St. Lawrence Seaway,Bill,True,THE 20th CENTURY,1,5
"During this 1846-48 war, the U.S. Army bought 1,000 of Samuel Colt’s revolvers",29,800,False,Mexican War,Bill,True,SAM I AM,1,5
The name of this game that uses 144 small tiles comes from a word meaning “sparrows”,24,"3,000",True,Mah Jongg,Ken,True,TOYS & GAMES,1,5
FLOCK REELER,19,800,False,(Nelson) Rockefeller,Ken,True,SCRAMBLED VEEPS,1,5
“A Taste for Death” is one of P.D. James’ novels about this Scotland Yard detective and published poet,5,1000,False,Adam Dalgliesh,Ken,True,DETECTIVE FICTION,1,5
Former “SCTV” siblings Rick Moranis & Dave Thomas voiced moose siblings in this animal adventure,10,1000,False,Brother Bear,Bill,True,ANIMATED MOVIES,1,5
"Unable to run for a third term as Pres. of Serbia, he made himself Pres. of Yugoslavia on July 23, 1997",15,1000,False,Slobodan Milosevic,Ken,True,THE 20th CENTURY,1,5
In 1865 this man set John Wilkes Booth’s broken leg,30,1000,False,Samuel Mudd,Ken,True,SAM I AM,1,5
The piece you try to capture in Stratego has one of these on it,25,1000,False,a flag,Bill,True,TOYS & GAMES,1,5
CLAW ALE,20,1000,False,(Henry A.) Wallace,Ken,True,SCRAMBLED VEEPS,1,5
"In 1672 Giovanni Cassini determined the distance from the Earth to this, creating a new measuring unit, the Au",17,400,False,the sun,Bill,True,ASTRONOMY,2,5
,,,,,,,RADIO,2,5
This magazine’s website says it’s “more than a magazine to Black America… it’s a way of life”,1,400,False,Ebony,Ken,True,MAGAZINES & NEWSPAPERS,2,5
Guernsey,3,400,False,England,Bill,True,THAT'S OUR ISLAND!!!,2,5
"If your birthday is on September 24, you’re on this of the sign of Libra",11,400,False,the cusp,Ken,True,4-LETTER WORDS,2,5
"The $ may have originated as PS, an abbreviation for this other monetary unit",23,400,False,the peso,Ken,False,@$&!,2,5
In 1679 Danish astronomer Ole Romer was the first to figure out the speed of this,18,800,False,light,Kollin,True,ASTRONOMY,2,5
2-word term for the peak listening period when rush hour commuters are in their cars,29,800,False,drive time,Bill,True,RADIO,2,5
In 2004 this magazine’s website featured a remote camera to watch the migrating sandhill cranes in Nebraska,2,800,False,National Geographic,Bill,True,MAGAZINES & NEWSPAPERS,2,5
Baffin Island,4,800,False,Canada,Ken,True,THAT'S OUR ISLAND!!!,2,5
4-letter Italian term for the boss of a crime syndicate,12,800,False,a capo,Ken,True,4-LETTER WORDS,2,5
The artist Chryssa is noted for her light art &s done in tubes of this gas,24,800,False,neon,Ken,True,@$&!,2,5
Term for the astronomical event that heralds the beginning of summer,20,1200,False,the solstice,Ken,True,ASTRONOMY,2,5
"Casey Kasem created the long distance one of these & is heard here reading one:""This letter comes from a teenager in Washington, D.C. who learned that it's better to give than receive.  Here's what she writes: 'Dear Casey...'""",28,1200,False,a dedication,Ken,True,RADIO,2,5
The USA’s 2 top-selling magazines are Reader’s Digest & TV Guide; this “Better” magazine comes in third,8,1200,False,Better Homes and Gardens,Bill,True,MAGAZINES & NEWSPAPERS,2,5
Corfu,5,1200,False,Greece,Ken,True,THAT'S OUR ISLAND!!!,2,5
"It’s in dictionaries as the sound a small object makes dropping into water, sometimes without a splash",13,1200,False,plop,Ken,True,4-LETTER WORDS,2,5
"(Jimmy of the Clue Crew demonstrates at a chalkboard.)  For the way it curls, Germans call our @ sign the Affinschwanz or this part of a monkey",25,1200,False,the tail,Bill,True,@$&!,2,5
To an astronomer UMa is an abbreviation for this constellation,21,"5,200",True,Ursa Major,Ken,True,ASTRONOMY,2,5
Iman is a model; this I-Man is this radio personality,16,1600,False,Don Imus,Ken,True,RADIO,2,5
In March 2004 Arnold Schwarzenegger became executive editor of the magazine called Muscle & this,9,1600,False,Fitness,Ken,True,MAGAZINES & NEWSPAPERS,2,5
The Canary Islands,6,1600,False,Spain,Ken,True,THAT'S OUR ISLAND!!!,2,5
This problem that sounds like what a coyote does at night could threaten a golfer’s career,14,1600,False,the yips,Kollin,True,4-LETTER WORDS,2,5
"The name of this company, whose symbol is seen here, consists of 3-letters plus an &",26,1600,False,AT&T,Bill,True,@$&!,2,5
A large crater on Saturn’s moon Mimas is named for the British astronomer who discovered the moon in 1789,22,2000,False,William Herschel,Bill,False,ASTRONOMY,2,5
The 2 words that followed “Lux” in a program beginning in 1936 that re-created plays & movies,19,2000,False,Radio Theater,Ken,True,RADIO,2,5
This largest newspaper chain owns the Des Moines Register & about 100 other papers,10,"5,800",True,Gannett,Ken,False,MAGAZINES & NEWSPAPERS,2,5
Bimini,7,2000,False,Bahamas,Bill,False,THAT'S OUR ISLAND!!!,2,5
The dying cowboy in “Streets of Laredo” wants 6 pretty girls to bear this,15,2000,False,his pall,Bill,False,4-LETTER WORDS,2,5
